expertise_desc,services_type_desc,name
אבחון/טיפול מערכת הנשימה,מוסדות ומרפאות,65
אונקוגינקולוגיה,רופאים,19
אונקולוגיה,יועצים ומנתחים,69
אונקולוגיה,מוסדות ומרפאות,30
אונקולוגיה,רופאים,137
אופטומטריה,מוסדות ומרפאות,235
אורוגינקולוגיה,יועצים ומנתחים,1
אורוגינקולוגיה,רופאים,166
אורודינמיקה,מוסדות ומרפאות,3
אורודינמיקה,רופאים,1
אורולוגיה,יועצים ומנתחים,133
אורולוגיה,מוסדות ומרפאות,3
אורולוגיה,רופאים,1255
אורתופדיה,יועצים ומנתחים,414
אורתופדיה,מוסדות ומרפאות,17
אורתופדיה,רופאים,2940
אורתופדיה - גב ,רופאים,56
אורתופדיה - כף רגל,רופאים,60
אורתופדיה - כתף,יועצים ומנתחים,1
אורתופדיה - כתף,רופאים,83
אורתופדית ילדים,יועצים ומנתחים,21
אורתופדית ילדים,מוסדות ומרפאות,1
אורתופדית ילדים,מטפלים,19
אורתופדית ילדים,רופאים,180
אורתופטיקה,מוסדות ומרפאות,19
אורתופטיקה,מטפלים,14
אורתופטיקה,רופאים,2
אימונולוגיה ואלרגולוגיה,יועצים ומנתחים,29
אימונולוגיה ואלרגולוגיה,רופאים,113
אלרגולוגיה,מוסדות ומרפאות,1
אלרגולוגיה,רופאים,60
אלרגיה,מוסדות ומרפאות,16
אלרגיה,רופאים,33
אנדוקרינולוגיה,יועצים ומנתחים,67
אנדוקרינולוגיה,מוסדות ומרפאות,4
אנדוקרינולוגיה,רופאים,566
אנדוקרינולוגית ילדים,יועצים ומנתחים,7
אנדוקרינולוגית ילדים,רופאים,208
אף אוזן וגרון,יועצים ומנתחים,196
אף אוזן וגרון,מוסדות ומרפאות,6
אף אוזן וגרון,רופאים,1818
אף אוזן וגרון ילדים,יועצים ומנתחים,15
אף אוזן וגרון ילדים,רופאים,5
אשפוז/טיפולי יום,מוסדות ומרפאות,31
אשפוז/טיפולי יום,רופאים,4
בית מרקחת,מוסדות ומרפאות,3404
בית מרקחת,מטפלים,1
בריאות הנפש ,מוסדות ומרפאות,450
בריאות הנפש ,מטפלים,6
בריאות הנפש ,רופאים,96
בריאות הנפש - הילד והמתבגר,מוסדות ומרפאות,334
בריאות הנפש - הילד והמתבגר,מטפלים,3
בריאות הנפש - הילד והמתבגר,רופאים,88
בריאטריה- קיצור קיבה ,מוסדות ומרפאות,122
בריאטריה- קיצור קיבה ,רופאים,27
גמילה מעישון,מוסדות ומרפאות,1
גנטיקה,רופאים,22
גנטיקה רפואית,יועצים ומנתחים,11
גנטיקה רפואית,מוסדות ומרפאות,5
גנטיקה רפואית,רופאים,11
גסטרואנטרולוגיה,יועצים ומנתחים,114
גסטרואנטרולוגיה,מוסדות ומרפאות,55
גסטרואנטרולוגיה,מטפלים,1
גסטרואנטרולוגיה,רופאים,853
גסטרואנטרולוגיה ילדים,יועצים ומנתחים,14
גסטרואנטרולוגיה ילדים,רופאים,192
גריאטריה,יועצים ומנתחים,50
גריאטריה,מוסדות ומרפאות,35
גריאטריה,מטפלים,2
גריאטריה,רופאים,311
דיאטן תזונאי,מוסדות ומרפאות,545
דיאטן תזונאי,מטפלים,1541
דיאטן תזונאי,רופאים,4
דיאליזה,מוסדות ומרפאות,186
דיור מוגן,מוסדות ומרפאות,9
דימות,מוסדות ומרפאות,223
דימות,רופאים,20
דימות - MRI,מוסדות ומרפאות,32
דימות - MRI,רופאים,3
דימות - אולטרה סאונד,מוסדות ומרפאות,435
דימות - אולטרה סאונד,מטפלים,8
דימות - אולטרה סאונד,רופאים,35
דימות - צפיפות עצם,מוסדות ומרפאות,10
דימות - רנטגן,מוסדות ומרפאות,524
דימות - רנטגן,מטפלים,4
דימות - שד,מוסדות ומרפאות,1
דימות - שד,רופאים,2
דימות -אולטראסונד שד,מוסדות ומרפאות,25
דימות -אולטראסונד שד,רופאים,21
דימות השד - ממוגרפיה,מוסדות ומרפאות,82
הולטר לב,מוסדות ומרפאות,23
המטולוגיה,יועצים ומנתחים,31
המטולוגיה,רופאים,287
המטולוגיה ילדים,יועצים ומנתחים,7
המטולוגיה ילדים,רופאים,34
חדר פעולות כירורגיות,מוסדות ומרפאות,25
חדר תרופות,מוסדות ומרפאות,36
טיפול בהרטבה לילית,מוסדות ומרפאות,12
טיפול בהרטבה לילית,רופאים,7
טיפת חלב,טיפת חלב,617
טיפת חלב,מוסדות ומרפאות,122
טיפת חלב,מוקדי חיסון קורונה,1
טיפת חלב,מטפלים,122
טיפת חלב,רופאים,75
טראומה וחבלות ,מוסדות ומרפאות,15
טראומה וחבלות ,רופאים,174
יילוד וגינקולוגיה,יועצים ומנתחים,434
יילוד וגינקולוגיה,מוסדות ומרפאות,496
יילוד וגינקולוגיה,מטפלים,5
יילוד וגינקולוגיה,רופאים,4302
יילוד וגינקולוגיה - היסטרסקופיה,מוסדות ומרפאות,2
יילוד וגינקולוגיה - היסטרסקופיה,רופאים,99
יילוד וגינקולוגיה - הריון בסיכון גבוה,מוסדות ומרפאות,7
יילוד וגינקולוגיה - הריון בסיכון גבוה,רופאים,157
יילוד וגינקולוגיה - מי שפיר,מוסדות ומרפאות,19
יילוד וגינקולוגיה - מי שפיר,רופאים,29
יילוד וגינקולוגיה - מעקב הריון,טיפת חלב,19
יילוד וגינקולוגיה - מעקב הריון,מוסדות ומרפאות,271
יילוד וגינקולוגיה - מעקב הריון,מטפלים,72
יילוד וגינקולוגיה - מעקב הריון,רופאים,239
יילוד וגינקולוגיה - פוריות,מוסדות ומרפאות,7
יילוד וגינקולוגיה - פוריות,רופאים,134
יילוד וגינקולוגיה - קדם הריון כולל מידע גנטי,מוסדות ומרפאות,9
יילוד וגינקולוגיה - קדם הריון כולל מידע גנטי,מטפלים,48
יילוד וגינקולוגיה - קדם הריון כולל מידע גנטי,רופאים,2
יילוד וגינקולוגיה -אולטרה סאונד נשים ויולדות,מוסדות ומרפאות,116
יילוד וגינקולוגיה -אולטרה סאונד נשים ויולדות,מטפלים,46
יילוד וגינקולוגיה -אולטרה סאונד נשים ויולדות,רופאים,415
ייעוץ הנקה,טיפת חלב,8
ייעוץ הנקה,מוסדות ומרפאות,272
ייעוץ הנקה,מטפלים,12
ייעוץ הנקה,רופאים,3
ילדים,יועצים ומנתחים,156
ילדים,מוסדות ומרפאות,49
ילדים,מוקדי חיסון קורונה,2
ילדים,מטפלים,2
ילדים,רופאים,3325
יעוץ מיני,מוסדות ומרפאות,17
יתר לחץ דם,רופאים,13
כאב,יועצים ומנתחים,31
כאב,מוסדות ומרפאות,14
כאב,רופאים,149
כירורגיה - שד,יועצים ומנתחים,1
כירורגיה - שד,מוסדות ומרפאות,1
כירורגיה - שד,רופאים,294
כירורגיה כללית,יועצים ומנתחים,255
כירורגיה כללית,מוסדות ומרפאות,10
כירורגיה כללית,רופאים,1830
כירורגיה פלסטית,יועצים ומנתחים,108
כירורגיה פלסטית,מוסדות ומרפאות,2
כירורגיה פלסטית,רופאים,408
כירורגיה של בית החזה,יועצים ומנתחים,35
כירורגיה של בית החזה,מוסדות ומרפאות,1
כירורגיה של בית החזה,רופאים,99
כירורגיה של היד,יועצים ומנתחים,38
כירורגיה של היד,מוסדות ומרפאות,4
כירורגיה של היד,רופאים,173
כירורגית ילדים,יועצים ומנתחים,22
כירורגית ילדים,רופאים,184
כירורגית כלי דם,יועצים ומנתחים,50
כירורגית כלי דם,מוסדות ומרפאות,1
כירורגית כלי דם,רופאים,384
כירורגית פה ולסת,רופאים,14
מוקד רפואה דחופה  ,מוסדות ומרפאות,505
מחלות זיהומיות,יועצים ומנתחים,9
מחלות זיהומיות,מוסדות ומרפאות,2
מחלות זיהומיות,רופאים,42
מחלות זיהומיות ילדים,רופאים,2
מחלות מטבוליות,יועצים ומנתחים,1
מחלות מטבוליות,רופאים,7
מחלות ריאה,יועצים ומנתחים,39
מחלות ריאה,מוסדות ומרפאות,34
מחלות ריאה,מטפלים,1
מחלות ריאה,רופאים,389
מחלות ריאה ילדים,יועצים ומנתחים,13
מחלות ריאה ילדים,מוסדות ומרפאות,2
מחלות ריאה ילדים,רופאים,133
מכון אקו לב,מוסדות ומרפאות,20
מכון אקו לב,מטפלים,1
מכון אקו לב,רופאים,3
מכון שינה,מוסדות ומרפאות,28
מכון שינה,רופאים,63
מעבדה,טיפת חלב,3
מעבדה,מוסדות ומרפאות,2081
מעבדה,מוקדי חיסון קורונה,1
מעבדה,מטפלים,29
מעבדה,רופאים,17
מעבדה - זרע,מוסדות ומרפאות,19
מעבדה - זרע,רופאים,1
מעבדה - סקר גנטי,מוסדות ומרפאות,94
מעבדה - סקר גנטי,רופאים,9
מעבדה - פטריות,מוסדות ומרפאות,30
מרפאת אי ספיקת לב,מוסדות ומרפאות,5
מרפאת אי ספיקת לב,מטפלים,1
מרפאת אי ספיקת לב,רופאים,92
משפחה,יועצים ומנתחים,345
משפחה,מוסדות ומרפאות,63
משפחה,מוקדי חיסון קורונה,2
משפחה,רופאים,7615
נוירוכירורגיה,יועצים ומנתחים,57
נוירוכירורגיה,רופאים,170
נוירולוגיה,יועצים ומנתחים,165
נוירולוגיה,מוסדות ומרפאות,4
נוירולוגיה,מטפלים,1
נוירולוגיה,רופאים,726
נוירולוגית ילדים והתפתחות הילד,יועצים ומנתחים,73
נוירולוגית ילדים והתפתחות הילד,מוסדות ומרפאות,758
נוירולוגית ילדים והתפתחות הילד,מטפלים,12
נוירולוגית ילדים והתפתחות הילד,רופאים,337
ניאונטולוגיה,רופאים,2
ניטור עוברי -מוניטור,מוסדות ומרפאות,120
נפרולוגיה,יועצים ומנתחים,23
נפרולוגיה,מוסדות ומרפאות,38
נפרולוגיה,רופאים,202
נפרולוגית ילדים,יועצים ומנתחים,8
נפרולוגית ילדים,רופאים,71
סוכרת,יועצים ומנתחים,11
סוכרת,מוסדות ומרפאות,223
סוכרת,רופאים,384
סוכרת ילדים,מוסדות ומרפאות,3
סוכרת ילדים,רופאים,8
עבודה סוציאלית,מוסדות ומרפאות,479
עבודה סוציאלית,מטפלים,1208
עבודה סוציאלית,רופאים,14
עור ומין,יועצים ומנתחים,58
עור ומין,מוסדות ומרפאות,11
עור ומין,רופאים,1419
עיניים,יועצים ומנתחים,129
עיניים,מוסדות ומרפאות,92
עיניים,מטפלים,8
עיניים,רופאים,2093
עיניים - גלאוקומה,רופאים,35
עיניים - ילדים ופזילה,רופאים,74
עיניים - פלסטיקה וארובת העין,יועצים ומנתחים,3
עיניים - פלסטיקה וארובת העין,רופאים,51
עיניים - רישתית,יועצים ומנתחים,2
עיניים - רישתית,רופאים,128
עיניים ילדים,יועצים ומנתחים,13
עיניים ילדים,רופאים,43
פודיאטריה,מוסדות ומרפאות,18
פודיאטריה,מטפלים,22
פודיאטריה,רופאים,6
פיזיותרפיה,מוסדות ומרפאות,916
פיזיותרפיה,מטפלים,1173
פיזיותרפיה - ילדים,מוסדות ומרפאות,261
פיזיותרפיה - ילדים,מטפלים,338
פנימית,מוסדות ומרפאות,4
פנימית,רופאים,121
פסיכוגריאטריה,רופאים,3
פסיכולוגיה,מוסדות ומרפאות,71
פסיכולוגיה,מטפלים,693
פסיכולוגיה התפתחותית,מוסדות ומרפאות,3
פסיכולוגיה חינוכית,מטפלים,1
פסיכולוגיה ילדים ונוער,מוסדות ומרפאות,137
פסיכולוגיה ילדים ונוער,מטפלים,261
פסיכולוגיה ילדים ונוער,רופאים,6
פסיכולוגיה קלינית,מוסדות ומרפאות,8
פסיכולוגיה קלינית,מטפלים,56
פסיכולוגיה רפואית,מטפלים,14
פסיכולוגיה שיקומית,מוסדות ומרפאות,1
פסיכולוגיה שיקומית,מטפלים,5
פסיכותרפיה,מוסדות ומרפאות,190
פסיכותרפיה,מטפלים,772
פסיכותרפיה,רופאים,37
פסיכיאטריה,יועצים ומנתחים,455
פסיכיאטריה,מוסדות ומרפאות,20
פסיכיאטריה,מטפלים,80
פסיכיאטריה,רופאים,680
פסיכיאטריה של הילד והמתבגר,יועצים ומנתחים,70
פסיכיאטריה של הילד והמתבגר,רופאים,127
פצעים קשי ריפוי,מוסדות ומרפאות,17
פצעים קשי ריפוי,מטפלים,4
פצעים קשי ריפוי,רופאים,22
פרוקטולוגיה,יועצים ומנתחים,13
פרוקטולוגיה,מוסדות ומרפאות,1
פרוקטולוגיה,רופאים,185
קלינאות תקשורת - מכשירי שמיעה,מוסדות ומרפאות,646
קלינאות תקשורת - מכשירי שמיעה,מטפלים,27
קלינאות תקשורת - מכשירי שמיעה,רופאים,2
קלינאי תקשורת,מוסדות ומרפאות,56
קלינאי תקשורת,מטפלים,134
קלינאי תקשורת - שפה ודיבור,מוסדות ומרפאות,753
קלינאי תקשורת - שפה ודיבור,מטפלים,659
קלינאי תקשורת - שפה ודיבור,רופאים,2
קרדיולוגיה,יועצים ומנתחים,177
קרדיולוגיה,מוסדות ומרפאות,32
קרדיולוגיה,מטפלים,8
קרדיולוגיה,רופאים,1337
קרדיולוגיה - בדיקות מאמץ,מוסדות ומרפאות,62
קרדיולוגיה - בדיקות מאמץ,מטפלים,4
קרדיולוגיה - בדיקות מאמץ,רופאים,15
קרדיולוגיה - הפרעות קצב,מוסדות ומרפאות,185
קרדיולוגיה - הפרעות קצב,רופאים,34
קרדיולוגית ילדים,יועצים ומנתחים,7
קרדיולוגית ילדים,רופאים,145
קשב וריכוז,מוסדות ומרפאות,640
קשב וריכוז,מטפלים,2
קשב וריכוז,רופאים,353
ראומטולוגיה,יועצים ומנתחים,45
ראומטולוגיה,רופאים,280
ראומטולוגית ילדים,רופאים,19
רדיולוגיה אבחנתית,יועצים ומנתחים,59
רדיולוגיה אבחנתית,מוסדות ומרפאות,16
רדיולוגיה אבחנתית,רופאים,157
ריפוי בעיסוק,מוסדות ומרפאות,1278
ריפוי בעיסוק,מטפלים,809
ריפוי בעיסוק,רופאים,2
רפואה גרעינית ,מוסדות ומרפאות,11
רפואה גרעינית ,רופאים,1
רפואה דחופה,מוסדות ומרפאות,295
רפואה דחופה,רופאים,99
רפואה משלימה,מוסדות ומרפאות,15
רפואה משלימה,מטפלים,203
רפואה פיזיקלית ושיקום,מוסדות ומרפאות,43
רפואה פיזיקלית ושיקום,רופאים,30
רפואה תעסוקתית,יועצים ומנתחים,21
רפואה תעסוקתית,מוסדות ומרפאות,14
רפואה תעסוקתית,מטפלים,1
רפואה תעסוקתית,רופאים,93
רפואת מתבגרים,רופאים,1
רפואת שיניים,מוסדות ומרפאות,822
רפואת שיניים,רופאים,1000
רפואת שיניים - ילדים,מוסדות ומרפאות,2
רפואת שיניים - ילדים,רופאים,257
רפואת שיניים - רפואת הפה,מוסדות ומרפאות,346
רפואת שיניים - רפואת הפה,רופאים,61
שדה ראיה ממוחשב,מוסדות ומרפאות,3
שיניים,רופאים,14
שירותי אחות,מוסדות ומרפאות,2377
שירותי אחות,מוקדי חיסון קורונה,110
שירותי אחות,מטפלים,3
תיפקוד מיני,מטפלים,3
תיפקוד מיני,רופאים,49
